Country,Time,House Price Index,Income Index,Affordability Ratio
Spain,2022-Q3,110.91217692092843,111.34723410908668,99.61
Spain,2022-Q4,113.01053475897531,111.34723410908668,101.49
Spain,2023-Q1,116.5913501822635,116.74653387360149,99.87
Spain,2023-Q2,118.43188930983364,116.74653387360149,101.44
Spain,2023-Q3,122.9938481591028,116.74653387360149,105.35
Spain,2023-Q4,121.3824812186231,116.74653387360149,103.97
Spain,2024-Q1,128.078606060172,121.70747583061694,105.23
Sweden,2005-Q1,100.0,100.0,100.0
Sweden,2005-Q2,100.63252925447802,100.0,100.63
Sweden,2005-Q3,100.37376728673702,100.0,100.37
Sweden,2005-Q4,100.58940225985451,100.0,100.59
Sweden,2006-Q1,102.91825996952359,104.17497934620596,98.79
Sweden,2006-Q2,102.5588683476611,104.17497934620596,98.45
Sweden,2006-Q3,104.37020212184815,104.17497934620596,100.19
Sweden,2006-Q4,106.18153589603519,104.17497934620596,101.93
Sweden,2007-Q1,107.00094879388173,108.80187902303862,98.34
Sweden,2007-Q2,110.23547339064434,108.80187902303862,101.32
Sweden,2007-Q3,112.8949713924269,108.80187902303862,103.76
Sweden,2007-Q4,114.36128920962597,108.80187902303862,105.11
Sweden,2008-Q1,114.46191886374746,111.76967385462973,102.41
Sweden,2008-Q2,114.70630516661397,111.76967385462973,102.63
Sweden,2008-Q3,115.26695609671948,111.76967385462973,103.13
Sweden,2008-Q4,118.44397803398405,111.76967385462973,105.97
Sweden,2009-Q1,122.58416951784021,113.9110321943577,107.61
Sweden,2009-Q2,121.4484919927547,113.9110321943577,106.62
Sweden,2009-Q3,122.2535292257267,113.9110321943577,107.32
Sweden,2009-Q4,125.6030591414853,113.9110321943577,110.26
Sweden,2010-Q1,124.99928121675627,116.77502567548115,107.04
Sweden,2010-Q2,126.60935568270033,116.77502567548115,108.42
Sweden,2010-Q3,129.4269859981024,116.77502567548115,110.83
Sweden,2010-Q4,130.00201259308244,116.77502567548115,111.33
Sweden,2011-Q1,132.14398665938302,119.90757606276377,110.2
Sweden,2011-Q2,134.9472413099106,119.90757606276377,112.54
Sweden,2011-Q3,135.60852189413762,119.90757606276377,113.09
Sweden,2011-Q4,137.10359104108568,119.90757606276377,114.34
Sweden,2012-Q1,136.90233173284267,123.62460112168527,110.74
Sweden,2012-Q2,137.26172335470517,123.62460112168527,111.03
Sweden,2012-Q3,138.6705385124062,123.62460112168527,112.17
Sweden,2012-Q4,139.2024381127627,123.62460112168527,112.6
Sweden,2013-Q1,138.7280411719042,125.58085166596061,110.47
Sweden,2013-Q2,134.57347402317356,125.58085166596061,107.16
Sweden,2013-Q3,135.2491302722751,125.58085166596061,107.7
Sweden,2013-Q4,137.56361231706967,125.58085166596061,109.54
Sweden,2014-Q1,139.73433771311926,128.06745865694833,109.11
